	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT3G05310	0	0	0	0	2	0
AT3G05315	0	0	0	0	0	0
AT3G05320	79	138	106	787	516	480
AT3G05325	4	7	4	2	1	3
AT3G05327	11	9	6	17	10	4
AT3G05330	11	25	14	33	22	14
AT3G05335	0	3	3	1	5	1
AT3G05340	18	71	45	15	9	6
AT3G05345	179	286	219	88	72	54
AT3G05350	879	1793	1701	538	549	539
AT3G05355	1	7	7	5	7	3
AT3G05360	45	68	60	836	559	690
AT3G05365	0	2	2	3	4	3
AT3G05370	196	465	292	229	234	206
AT3G05375	0	0	0	0	0	0
AT3G05380	230	481	410	1486	1090	1036
AT3G05385	0	0	0	0	0	1
AT3G05390	0	6	5	4	1	0
AT3G05395	0	0	1	0	0	0
AT3G05400	2	5	9	5	2	2
AT3G05410	232	400	403	24	38	18
AT3G05420	672	1182	1337	3298	2693	2506
AT3G05425	0	0	0	0	0	0
AT3G05430	44	55	75	26	31	9
AT3G05440	0	0	0	1	0	0
AT3G05445	0	0	0	0	0	0
AT3G05450	0	0	0	0	5	1
AT3G05455	0	0	0	0	0	0
AT3G05460	0	0	0	0	0	0
AT3G05465	0	0	0	0	0	0
AT3G05470	9	9	6	5	7	3
AT3G05475	0	0	0	0	0	0
AT3G05480	6	10	14	6	6	1
AT3G05485	0	0	0	0	0	0
AT3G05490	155	249	286	705	415	402
AT3G05495	0	0	0	0	0	0
AT3G05500	340	509	521	7148	7137	4728
AT3G05505	0	0	0	0	0	0
AT3G05510	80	162	146	168	165	136
AT3G05515	0	0	0	0	0	0
AT3G05520	347	651	663	252	220	185
AT3G05525	0	0	0	0	0	0
AT3G05530	1198	2083	2067	5070	4302	3463
AT3G05535	0	0	0	0	0	0
AT3G05540	0	0	0	0	0	0
AT3G05545	755	1222	1296	1499	1448	1286
AT3G05550	3	7	4	5	8	1
AT3G05555	0	0	0	0	0	0
AT3G05560	814	2105	2188	2311	2012	1586
AT3G05570	53	77	78	149	89	106
AT3G05575	0	0	0	1	0	0
AT3G05580	95	121	144	898	703	718
AT3G05585	0	0	0	0	0	0
AT3G05590	2049	4803	4595	5857	5052	3722
AT3G05595	0	0	0	0	0	0
AT3G05600	0	0	0	0	0	0
AT3G05605	0	0	0	0	0	0
AT3G05610	0	0	0	0	0	0
AT3G05620	4	20	10	23	15	15
AT3G05625	259	631	693	77	43	53
AT3G05630	23	38	48	51	34	60
AT3G05635	0	0	0	0	0	2
AT3G05640	535	895	867	365	423	307
AT3G05645	0	0	0	0	0	0
AT3G05650	318	746	711	507	417	310
AT3G05655	0	0	0	0	0	0
AT3G05660	893	1609	1843	2335	1655	1329
AT3G05665	0	0	0	0	0	0
AT3G05670	526	931	995	1777	1154	1105
AT3G05675	65	109	101	55	45	43
AT3G05680	598	1156	1058	1351	1065	1016
AT3G05685	14	43	30	42	22	27
AT3G05690	27	42	44	37	30	24
AT3G05695	0	0	0	0	0	0
AT3G05700	134	311	255	232	185	115
AT3G05705	0	0	0	0	0	0
AT3G05710	275	525	533	1609	1268	962
AT3G05715	0	0	0	1	0	0
AT3G05720	0	0	1	2	0	0
AT3G05725	0	0	0	0	0	0
AT3G05727	0	0	0	0	0	0
AT3G05730	358	535	260	379	159	116
AT3G05735	0	0	0	0	0	0
AT3G05740	8	47	36	18	16	6
AT3G05741	0	0	0	0	0	0
AT3G05745	0	0	0	0	0	0
AT3G05746	0	0	0	0	0	0
AT3G05750	102	284	357	47	53	32
AT3G05755	0	0	0	0	0	0
AT3G05760	209	445	369	756	707	423
AT3G05765	0	0	0	0	0	0
AT3G05770	0	0	0	0	0	0
AT3G05775	0	0	0	0	0	0
AT3G05780	0	0	0	1	0	0
AT3G05785	0	0	0	0	0	0
AT3G05790	10	28	22	16	7	7
AT3G05795	0	0	0	0	0	0
AT3G05800	373	314	351	45	36	37
AT3G05805	0	0	0	0	0	0
AT3G05810	86	144	121	119	86	77
AT3G05815	0	0	0	0	0	0
AT3G05820	4	0	2	17	7	11
AT3G05825	0	0	0	0	0	0
AT3G05830	89	117	200	764	758	471
AT3G05835	0	0	0	0	0	0
AT3G05840	1184	2510	2328	2865	2735	2608
AT3G05845	0	0	0	0	0	0
AT3G05850	193	319	355	401	400	353
AT3G05855	0	0	0	0	0	0
AT3G05858	0	0	0	0	0	0
AT3G05860	0	0	0	0	0	0
AT3G05870	51	110	81	57	38	30
AT3G05880	1681	3489	3633	452	514	277
AT3G05885	0	0	0	0	0	0
AT3G05890	29	18	15	15	5	10
AT3G05895	0	0	0	0	0	0
AT3G05900	578	435	559	62	72	64
AT3G05905	12	15	17	2	4	4
AT3G05910	841	1370	1662	116	173	123
AT3G05915	0	0	0	0	0	0
AT3G05920	0	0	0	0	0	0
AT3G05925	0	0	0	0	0	0
AT3G05930	0	8	2	13	19	16
AT3G05932	23	30	19	21	12	15
AT3G05935	0	0	0	0	0	0
AT3G05936	22	43	47	1	0	3
AT3G05937	27	29	36	23	11	14
AT3G05940	84	164	161	235	179	135
AT3G05945	2	0	1	0	0	0
AT3G05950	0	1	0	0	0	0
AT3G05955	1	0	0	0	0	0
AT3G05960	0	0	0	0	0	0
AT3G05965	0	0	0	0	0	0
AT3G05970	1600	4102	3728	7211	5897	5119
AT3G05975	0	0	0	0	0	0
AT3G05980	5	9	8	0	0	0
AT3G05985	0	0	0	0	0	0
AT3G05990	141	212	289	690	602	571
AT3G05995	0	2	0	0	0	0
AT3G06000	0	0	0	0	0	0
AT3G06010	315	487	505	628	515	439
AT3G06015	0	0	0	0	0	0
AT3G06019	0	0	0	0	0	0
AT3G06020	15	21	15	36	11	14
AT3G06025	0	0	0	0	0	0
AT3G06030	12	19	9	8	11	7
AT3G06035	99	242	352	73	56	44
AT3G06040	196	493	436	420	333	305
AT3G06045	0	0	0	0	0	0
AT3G06050	542	1194	1050	798	840	636
AT3G06055	0	0	0	0	0	0
AT3G06060	174	283	398	195	173	147
AT3G06065	0	0	0	0	0	0
AT3G06070	430	520	264	188	230	183
AT3G06075	0	0	0	0	0	0
AT3G06080	1005	1188	1170	1126	907	790
AT3G06085	1	0	1	0	0	0
AT3G06090	0	0	0	0	0	0
AT3G06095	0	0	0	0	0	0
AT3G06100	3	12	16	63	54	33
AT3G06105	0	0	0	0	0	0
AT3G06110	143	281	280	259	272	167
AT3G06115	0	0	0	0	0	0
AT3G06120	0	1	0	0	2	0
AT3G06125	91	220	211	60	62	50
AT3G06130	157	188	327	48	44	64
AT3G06135	0	0	0	0	0	0
AT3G06140	45	92	100	7	11	6
AT3G06145	156	411	375	7	15	13
AT3G06150	395	631	728	166	215	190
AT3G06155	0	0	0	0	0	0
AT3G06160	28	83	117	0	1	3
AT3G06165	0	0	0	0	0	0
AT3G06170	544	905	975	1328	1164	1031
AT3G06180	62	78	115	155	209	153
AT3G06185	0	0	0	0	0	0
AT3G06190	292	540	521	1125	1006	738
AT3G06200	217	415	447	396	363	268
AT3G06205	0	0	0	0	0	0
AT3G06210	114	193	202	124	115	120
AT3G06215	0	0	0	0	0	0
AT3G06220	0	0	0	0	0	0
AT3G06225	0	0	0	0	0	0
AT3G06230	0	0	0	0	0	0
AT3G06235	0	0	0	0	0	0
AT3G06240	159	203	249	286	244	209
AT3G06245	0	0	0	0	0	0
AT3G06250	212	453	459	652	455	442
AT3G06255	0	0	0	0	0	0
AT3G06260	0	0	0	0	0	0
AT3G06265	0	0	0	0	0	0
AT3G06270	96	244	276	276	254	227
AT3G06275	0	0	0	0	0	0
AT3G06280	0	0	0	0	0	0
AT3G06285	0	0	0	0	0	0
AT3G06290	350	654	511	761	689	584
AT3G06295	0	0	0	0	0	0
AT3G06300	339	546	568	3512	3249	2662
AT3G06310	192	512	486	398	340	281
AT3G06315	0	0	0	0	0	0
AT3G06320	47	97	99	121	102	84
AT3G06325	0	0	1	0	1	4
AT3G06330	289	352	347	522	547	412
AT3G06335	0	0	0	0	0	0
AT3G06340	205	428	412	389	345	313
AT3G06345	3	5	11	3	2	3
AT3G06350	773	1637	1402	7297	6152	5176
AT3G06355	68	96	196	219	208	194
AT3G06360	1	9	7	3	0	3
AT3G06370	28	28	31	42	40	27
AT3G06375	0	0	0	0	0	0
AT3G06380	355	612	532	445	379	301
AT3G06385	0	0	0	0	0	0
AT3G06390	0	0	0	0	0	0
AT3G06395	0	0	0	0	0	0
AT3G06400	1183	2074	2139	2920	2380	2194
AT3G06405	0	0	0	0	0	0
AT3G06410	265	465	602	627	621	636
AT3G06415	0	0	0	0	0	0
AT3G06420	71	128	79	425	256	183
AT3G06425	0	0	0	0	0	0
AT3G06430	435	764	741	93	126	105
AT3G06435	0	3	5	1	2	2
AT3G06436	0	0	0	0	0	0
AT3G06440	234	407	395	188	136	92
AT3G06445	0	0	0	0	0	0
AT3G06450	316	565	555	615	510	374
AT3G06455	31	70	77	70	72	54
AT3G06460	0	0	0	0	0	0
AT3G06465	0	0	0	0	0	0
AT3G06470	261	387	377	412	434	293
AT3G06475	0	0	0	0	0	0
AT3G06480	352	700	675	751	674	602
AT3G06483	1790	2868	2705	688	597	584
AT3G06485	0	0	0	0	0	0
AT3G06490	0	1	2	10	4	4
AT3G06495	0	0	0	0	0	0
AT3G06500	923	1239	1129	3139	2208	2130
AT3G06510	2272	4124	4333	462	612	519
AT3G06515	0	0	0	0	0	0
AT3G06520	44	148	155	11	6	10
AT3G06525	0	0	0	0	0	0
AT3G06530	340	1010	993	998	718	664
AT3G06535	0	0	0	0	0	0
AT3G06540	205	435	461	955	935	722
AT3G06545	0	0	0	0	0	0
AT3G06550	569	1198	1459	1324	935	872
AT3G06555	0	0	0	0	0	0
AT3G06560	1	0	0	4	0	2
AT3G06565	0	0	0	0	0	0
AT3G06570	91	157	164	60	61	60
AT3G06575	0	0	0	0	0	0
AT3G06580	605	1086	1075	1023	892	711
AT3G06585	0	0	0	0	0	0
AT3G06590	279	435	450	479	542	427
AT3G06595	0	0	0	0	0	0
AT3G06600	2	5	0	2	3	4
AT3G06605	0	0	0	0	0	0
AT3G06610	140	349	362	281	307	236
AT3G06615	0	0	0	0	0	0
AT3G06620	323	517	563	837	646	610
AT3G06625	0	0	0	0	0	0
AT3G06630	1	11	11	0	1	4
AT3G06635	0	0	0	0	0	0
AT3G06640	3	1	0	1	0	0
AT3G06645	0	0	0	0	0	0
AT3G06650	1127	1945	2344	2087	1772	1437
AT3G06655	2	0	0	0	0	3
AT3G06660	110	221	206	150	121	106
AT3G06665	0	0	0	0	0	0
AT3G06670	733	1222	1190	1444	1235	1060
AT3G06675	0	0	0	0	0	0
AT3G06680	71	153	186	137	105	64
AT3G06685	0	0	0	0	0	0
AT3G06690	18	21	14	38	28	17
AT3G06695	0	0	0	0	0	0
AT3G06700	374	1049	1108	1218	1204	963
AT3G06710	13	37	33	14	3	9
AT3G06715	0	0	0	0	0	0
AT3G06720	829	1830	1715	1344	1249	1079
AT3G06725	0	0	0	0	0	0
AT3G06730	262	598	543	127	138	124
AT3G06735	0	0	0	0	0	0
AT3G06740	38	107	80	36	34	22
AT3G06745	0	0	0	0	0	0
AT3G06750	173	327	285	41	32	38
AT3G06755	0	0	0	0	0	0
AT3G06760	113	250	230	684	506	407
AT3G06765	0	0	0	0	0	0
AT3G06770	193	259	337	7	16	13
AT3G06775	0	0	0	0	0	0
AT3G06778	8	9	9	17	12	4
AT3G06780	191	232	214	402	371	311
AT3G06785	0	0	0	0	0	0
AT3G06790	122	297	314	146	119	148
AT3G06795	0	0	0	0	0	0
AT3G06805	0	0	0	0	0	0
AT3G06810	504	751	819	1588	1233	1056
AT3G06815	0	0	0	0	0	0
AT3G06820	170	310	283	367	375	338
AT3G06830	3	0	0	0	0	0
AT3G06835	0	0	0	0	0	0
AT3G06840	8	7	6	3	12	12
AT3G06845	0	0	0	0	0	0
AT3G06850	177	318	258	94	126	85
AT3G06855	0	0	0	0	0	0
AT3G06860	1121	1962	2143	5537	4740	3983
AT3G06868	232	358	390	9	28	20
AT3G06870	6	12	8	0	0	0
AT3G06880	232	645	809	5	12	11
AT3G06890	12	15	15	148	103	78
AT3G06895	0	0	0	0	0	0
AT3G06900	0	1	0	1	0	0
AT3G06905	0	0	0	0	0	0
AT3G06910	86	129	129	187	118	133
AT3G06915	0	0	0	0	0	0
AT3G06920	75	208	223	196	126	109
AT3G06925	0	0	0	0	0	0
AT3G06930	228	457	452	233	239	172
AT3G06935	0	0	0	0	0	0
AT3G06950	160	294	249	119	145	108
AT3G06955	0	0	0	1	0	2
AT3G06960	225	446	432	370	401	295
AT3G06962	0	0	0	0	0	0
AT3G06970	0	0	0	0	0	0
AT3G06975	0	0	0	0	0	0
AT3G06980	1847	3575	3596	220	229	199
AT3G06985	0	0	0	0	0	0
AT3G06990	2	2	5	0	0	1
AT3G07000	2	4	3	3	2	10
AT3G07005	0	0	0	0	0	0
AT3G07010	453	744	763	64	102	80
AT3G07020	410	579	685	537	379	356
AT3G07025	0	0	0	0	0	0
AT3G07030	192	305	399	341	319	291
AT3G07040	276	585	505	1022	767	868
AT3G07045	0	3	0	0	1	0
AT3G07050	390	975	986	1988	1654	1221
AT3G07055	0	0	0	0	0	0
AT3G07060	86	188	200	401	339	251
AT3G07065	0	0	0	0	0	0
AT3G07070	0	0	0	2	1	3
AT3G07075	0	0	0	0	0	0
AT3G07080	167	280	192	277	207	208
AT3G07085	0	0	0	0	0	0
AT3G07090	478	944	912	3963	3557	2751
AT3G07095	0	0	0	0	0	0
AT3G07100	1248	2406	2368	3766	3054	2936
AT3G07105	0	0	1	3	8	8
AT3G07110	755	2557	2447	2164	1964	1499
AT3G07115	0	0	0	0	0	0
AT3G07120	2	0	2	1	1	2
AT3G07125	0	0	0	0	0	0
AT3G07130	24	74	35	11	14	8
AT3G07135	0	0	0	0	0	0
AT3G07140	334	657	661	519	388	407
AT3G07150	2	8	8	7	4	3
AT3G07155	0	0	0	0	0	0
AT3G07160	1371	2361	2481	7012	4330	4521
AT3G07165	0	0	0	0	0	0
AT3G07170	334	557	580	955	762	617
AT3G07175	0	0	0	0	0	0
AT3G07180	359	651	590	524	477	347
AT3G07185	0	0	0	0	0	0
AT3G07190	87	161	157	142	61	79
AT3G07195	141	239	223	2245	2383	2132
AT3G07200	71	132	132	9	11	5
AT3G07205	1	0	0	0	2	0
AT3G07210	39	81	78	50	26	32
AT3G07215	31	102	59	104	35	43
AT3G07220	348	485	459	1024	889	777
AT3G07225	0	0	0	0	0	0
AT3G07230	249	600	499	615	550	332
AT3G07235	0	0	0	0	0	0
AT3G07245	0	0	0	0	0	0
AT3G07250	0	0	0	0	0	0
AT3G07255	0	0	0	0	0	0
AT3G07260	4	1	1	0	0	0
AT3G07265	0	0	0	0	0	0
AT3G07270	600	1192	1374	742	747	547
AT3G07273	44	99	66	95	61	65
AT3G07275	0	0	0	0	0	0
AT3G07290	18	37	29	15	8	4
AT3G07295	0	0	0	0	0	0
AT3G07300	290	643	599	847	747	596
AT3G07305	0	5	4	1	5	2
AT3G07310	1230	1671	1750	146	178	190
AT3G07315	1	2	6	7	11	7
AT3G07320	126	195	215	233	140	175
AT3G07325	0	0	0	0	0	0
AT3G07330	364	799	822	1217	993	952
AT3G07335	0	0	0	0	0	0
AT3G07340	59	60	103	17	7	20
AT3G07345	0	0	0	0	0	0
AT3G07350	24	15	14	20	11	9
AT3G07355	0	0	2	0	0	3
AT3G07360	716	667	724	229	275	175
AT3G07365	0	0	0	1	0	0
AT3G07370	241	368	300	1594	1313	916
AT3G07375	3	1	2	6	10	5
AT3G07380	0	2	2	4	0	1
AT3G07385	0	0	0	1	0	0
AT3G07390	1380	1957	2906	71392	76637	55762
AT3G07395	0	0	0	0	0	0
AT3G07400	303	508	456	779	634	530
AT3G07405	0	0	0	0	0	0
AT3G07410	32	90	86	24	26	3
AT3G07415	0	0	0	0	0	0
AT3G07420	62	208	102	173	69	51
AT3G07425	0	0	0	0	0	0
AT3G07430	666	1778	1774	729	683	598
AT3G07435	0	0	0	0	0	0
AT3G07440	112	220	184	107	129	83
AT3G07450	0	0	0	0	0	0
AT3G07460	1749	2712	2921	728	617	529
AT3G07465	0	0	0	0	0	0
AT3G07470	1109	1809	1999	982	770	768
AT3G07475	0	0	0	0	0	0
AT3G07480	730	1476	1682	2231	2386	1704
AT3G07485	0	0	0	0	0	0
AT3G07490	0	0	0	0	0	0
AT3G07495	0	0	0	2	0	0
AT3G07500	30	59	51	7	4	3
AT3G07505	0	0	0	0	0	0
AT3G07510	52	107	134	42	43	35
AT3G07515	0	0	0	0	0	0
AT3G07520	147	225	258	164	115	133
AT3G07522	0	0	1	0	0	0
AT3G07525	63	103	75	85	81	80
AT3G07530	33	68	45	86	71	55
AT3G07540	83	106	137	30	19	6
AT3G07545	0	0	0	0	0	0
AT3G07550	124	194	185	148	139	115
AT3G07555	4	0	6	12	12	15
AT3G07560	958	1497	1464	2735	2564	1940
AT3G07565	167	257	239	341	287	240
AT3G07568	64	165	90	210	158	105
AT3G07570	170	348	415	779	846	567
AT3G07580	73	193	206	394	423	310
AT3G07585	0	0	0	0	0	0
AT3G07590	68	121	77	189	137	117
AT3G07600	11	20	6	41	30	37
AT3G07605	0	0	0	0	0	0
AT3G07610	368	686	666	957	862	746
AT3G07615	1	0	1	0	0	0
AT3G07620	0	0	0	0	0	0
AT3G07625	0	0	1	0	0	0
AT3G07630	334	701	751	464	449	390
AT3G07635	5	1	1	0	0	0
AT3G07640	252	581	498	601	422	315
AT3G07645	0	0	0	0	0	0
AT3G07650	890	2658	2748	878	548	525
AT3G07655	0	0	0	0	0	0
AT3G07660	722	1437	1483	1465	1355	1231
AT3G07665	0	0	0	0	0	0
AT3G07670	638	1438	1314	115	133	114
AT3G07675	1	3	0	2	0	0
AT3G07680	514	1353	1213	2688	2632	2212
AT3G07685	0	0	0	0	0	0
AT3G07690	159	384	338	431	323	246
AT3G07695	0	0	0	0	0	0
AT3G07700	828	1562	1419	2732	2405	1887
AT3G07705	0	0	0	2	0	0
AT3G07710	0	0	0	0	0	0
AT3G07715	1	1	4	0	3	0
AT3G07720	419	655	736	2061	1795	1341
AT3G07725	3	1	0	1	3	1
AT3G07730	99	197	144	67	42	51
AT3G07735	0	0	0	0	0	0
AT3G07740	203	228	235	337	303	229
AT3G07745	0	0	0	0	0	0
AT3G07750	61	112	138	127	117	78
AT3G07755	0	0	0	0	0	0
AT3G07760	148	299	267	534	425	275
AT3G07765	0	0	0	0	0	0
AT3G07770	884	2010	2041	1558	1157	1140
AT3G07775	0	1	0	0	0	0
AT3G07780	869	1332	1236	3140	2934	2479
AT3G07785	1	3	4	0	2	0
AT3G07790	505	842	793	1582	1398	1216
AT3G07795	1	0	4	6	4	1
AT3G07800	89	210	174	890	824	677
AT3G07805	1	3	1	4	1	1
AT3G07810	719	1506	1597	2689	1933	1940
AT3G07815	0	0	0	0	0	0
AT3G07820	0	0	0	0	0	0
AT3G07825	0	0	8	2	2	2
AT3G07830	0	0	0	0	0	0
AT3G07835	0	0	2	3	2	0
AT3G07840	0	0	0	0	0	0
AT3G07845	0	0	0	0	0	0
AT3G07850	0	0	0	0	0	0
AT3G07855	0	0	0	0	0	0
AT3G07860	47	136	143	51	65	49
AT3G07865	0	0	0	0	0	0
AT3G07870	176	338	292	572	444	394
AT3G07875	0	0	0	3	0	0
AT3G07880	547	899	826	1008	858	628
AT3G07885	0	0	5	0	2	3
AT3G07890	357	589	667	713	604	497
AT3G07895	0	0	0	0	0	0
AT3G07900	0	2	0	12	8	12
AT3G07905	0	0	0	0	0	0
AT3G07910	163	267	298	424	347	271
AT3G07915	0	0	0	1	0	0
AT3G07920	0	0	4	1	0	0
AT3G07925	1	5	7	7	8	3
AT3G07930	121	188	171	142	109	93
AT3G07935	0	0	0	0	0	0
AT3G07940	222	328	367	269	230	184
AT3G07945	0	0	0	0	0	0
AT3G07950	202	345	404	899	712	604
AT3G07955	0	0	0	0	0	0
AT3G07960	5	12	26	75	43	56
AT3G07965	0	0	0	0	0	0
AT3G07970	0	0	0	0	1	0
AT3G07975	0	0	0	0	0	0
AT3G07980	234	505	443	883	750	655
AT3G07985	0	0	0	0	0	0
AT3G07990	127	175	192	58	40	44
AT3G07995	0	0	0	0	0	0
AT3G08000	55	112	78	8	10	5
AT3G08005	0	0	0	0	0	0
AT3G08010	865	1687	1495	237	310	232
AT3G08020	314	570	554	370	279	269
AT3G08025	0	0	0	0	0	0
AT3G08030	579	1161	1356	72	111	116
AT3G08035	0	0	0	0	0	0
AT3G08040	0	5	2	5	3	1
AT3G08045	0	0	0	0	0	0
AT3G08050	0	0	0	0	0	0
AT3G08055	0	0	0	0	0	0
AT3G08065	0	0	0	0	0	0
AT3G08070	0	1	0	0	0	0
AT3G08075	2	3	6	0	0	1
AT3G08080	0	0	0	0	0	0
AT3G08085	0	0	0	0	0	0
AT3G08090	0	0	0	0	0	0
AT3G08100	0	0	0	0	0	0
AT3G08105	0	0	0	0	0	0
AT3G08110	0	0	0	0	0	0
AT3G08115	0	0	0	0	0	0
AT3G08120	0	0	0	0	0	0
AT3G08125	0	0	0	0	0	0
AT3G08130	0	0	0	0	0	0
AT3G08135	0	0	0	0	0	0
AT3G08140	0	0	0	0	0	0
AT3G08150	0	0	0	0	0	0
AT3G08155	0	0	0	0	0	0
AT3G08160	0	0	0	0	0	0
AT3G08165	15	17	17	15	15	7
AT3G08170	0	0	9	1	9	0
AT3G08175	0	0	0	0	0	0
AT3G08185	0	0	0	0	0	0
AT3G08190	0	0	0	0	0	0
AT3G08200	0	0	0	0	0	0
AT3G08205	0	0	0	0	0	0
AT3G08210	0	0	0	2	0	0
AT3G08215	0	6	0	1	5	2
AT3G08220	0	0	0	0	0	0
AT3G08225	2	0	1	4	5	5
AT3G08230	0	0	0	0	0	0
AT3G08235	0	0	0	0	0	0
AT3G08240	0	0	0	0	0	1
AT3G08245	0	0	0	0	0	0
AT3G08250	0	0	0	0	0	0
AT3G08255	0	0	0	0	0	0
AT3G08260	0	0	0	0	0	0
AT3G08265	0	0	0	0	0	0
AT3G08270	0	0	0	0	0	0
AT3G08275	5	11	5	4	9	5
AT3G08280	0	0	0	0	0	0
AT3G08285	0	0	0	0	0	0
AT3G08290	2	0	0	0	0	0
AT3G08295	0	0	0	0	0	0
AT3G08300	0	2	5	0	0	1
AT3G08310	0	0	0	0	0	0
AT3G08315	0	0	0	0	0	0
AT3G08325	0	0	0	0	0	0
AT3G08330	0	0	0	1	0	0
AT3G08335	0	0	0	0	0	0
AT3G08340	0	0	0	0	0	0
AT3G08345	0	0	0	0	0	0
AT3G08350	1	0	0	0	0	0
AT3G08355	0	0	0	0	0	0
AT3G08360	0	0	0	0	0	0
AT3G08365	2	0	0	0	0	0
AT3G08370	0	0	0	0	0	0
AT3G08380	0	0	0	0	0	0
AT3G08390	0	0	0	0	0	0
AT3G08395	0	0	0	0	0	0
AT3G08400	0	0	0	0	0	0
AT3G08405	0	0	0	0	0	1
AT3G08410	0	0	0	0	0	0
AT3G08415	0	0	0	0	0	0
AT3G08420	0	0	0	0	0	0
AT3G08425	0	0	0	0	0	0
AT3G08430	0	0	0	0	0	0
AT3G08435	0	0	0	0	0	0
AT3G08450	0	0	0	0	0	1
AT3G08455	0	0	0	0	0	0
AT3G08460	0	0	0	0	0	0
AT3G08465	0	0	0	0	0	0
AT3G08470	0	0	0	0	0	0
AT3G08475	0	0	0	2	0	0
AT3G08480	0	0	0	0	0	0
AT3G08485	0	0	0	0	0	0
AT3G08490	1	0	0	2	0	0
AT3G08495	0	0	0	0	0	0
AT3G08500	2	11	3	0	2	0
AT3G08505	91	150	132	72	52	54
AT3G08510	3062	4294	4518	2758	2341	2014
AT3G08515	0	0	0	0	0	0
AT3G08520	93	270	279	238	226	121
AT3G08525	0	0	0	5	0	0
AT3G08530	3440	6267	6204	13157	10417	9595
AT3G08535	0	0	0	0	0	0
AT3G08545	0	0	0	0	0	0
AT3G08550	392	644	712	1192	950	798
AT3G08560	1	1	1	3	5	0
AT3G08570	13	24	32	10	11	6
AT3G08575	0	0	0	0	0	0
AT3G08580	6994	19011	17888	33052	29459	23848
AT3G08585	0	0	0	0	0	0
AT3G08590	1220	3420	3544	2034	1892	1482
AT3G08595	2	1	7	0	0	0
AT3G08600	135	192	207	31	25	24
AT3G08605	0	1	0	0	0	0
AT3G08610	1182	2150	2028	2045	1812	1367
AT3G08615	0	0	0	0	0	0
AT3G08620	69	155	123	116	118	97
AT3G08630	79	122	188	190	144	124
AT3G08635	4	2	4	0	3	0
AT3G08636	0	0	0	0	0	0
AT3G08640	564	1240	1229	1760	1934	1435
AT3G08645	0	0	0	0	3	0
AT3G08650	1025	1683	1676	3469	3523	2816
AT3G08655	0	0	0	0	0	0
AT3G08660	38	42	37	12	7	7
AT3G08665	2	0	2	2	1	0
AT3G08670	399	370	415	196	205	163
AT3G08675	0	0	0	0	0	0
AT3G08680	374	675	752	445	395	310
AT3G08685	0	0	0	0	0	0
AT3G08690	265	477	323	735	695	531
AT3G08695	0	0	0	0	0	0
AT3G08700	2	5	4	8	5	0
AT3G08705	0	0	3	0	0	0
AT3G08710	194	343	309	402	300	287
AT3G08715	0	0	0	0	0	0
AT3G08720	103	187	172	767	575	626
AT3G08725	0	0	0	0	0	0
AT3G08730	503	923	938	1673	1344	1159
AT3G08735	0	0	0	0	0	0
AT3G08740	1278	3857	3177	387	344	339
AT3G08745	0	0	0	0	0	0
AT3G08750	0	0	0	0	0	0
AT3G08755	0	0	0	0	0	0
AT3G08760	495	528	597	1352	1244	1111
AT3G08765	0	0	0	0	0	0
AT3G08770	3	8	1	0	0	0
AT3G08775	0	0	0	0	0	0
AT3G08780	123	190	261	386	361	262
AT3G08785	7	1	11	2	4	0
AT3G08790	0	1	0	0	0	0
AT3G08795	6	3	6	9	0	4
AT3G08800	64	136	100	137	116	103
AT3G08805	0	0	0	0	0	0
AT3G08810	0	1	2	2	2	0
AT3G08815	0	0	0	0	0	0
AT3G08820	28	72	75	27	47	23
AT3G08825	0	0	0	0	0	0
AT3G08835	0	0	0	0	0	0
AT3G08840	378	637	595	246	211	183
AT3G08845	0	0	0	0	0	0
AT3G08850	1106	1811	1924	2572	2065	2129
AT3G08855	0	0	0	0	0	0
AT3G08860	5	9	2	0	1	1
AT3G08870	326	503	514	1031	1058	929
AT3G08875	0	0	0	0	0	0
AT3G08880	46	102	65	186	141	125
AT3G08890	126	198	182	267	226	208
AT3G08895	0	6	14	13	9	14
AT3G08900	0	1	0	0	0	0
AT3G08905	0	0	0	0	0	0
AT3G08910	82	188	252	267	236	178
AT3G08915	0	0	0	0	0	0
AT3G08920	747	1038	1076	99	137	122
AT3G08925	0	0	0	0	0	0
AT3G08930	409	993	965	2172	1762	1568
AT3G08935	0	0	0	0	1	1
AT3G08940	30892	26008	26230	4891	10450	7480
AT3G08943	350	738	873	873	742	650
AT3G08945	0	0	0	0	0	0
AT3G08947	54	112	94	162	143	114
AT3G08950	107	227	238	550	348	352
AT3G08960	366	698	699	1013	731	766
AT3G08965	0	0	0	0	0	0
AT3G08970	81	401	289	2144	1603	1099
AT3G08975	0	0	0	0	0	0
AT3G08980	18	68	79	66	29	32
AT3G08985	0	0	0	0	0	0
AT3G08990	22	34	40	26	34	43
AT3G09000	303	453	511	1321	1318	1046
AT3G09005	4	4	6	5	3	0
AT3G09010	147	337	369	2408	2309	1670
AT3G09015	0	0	0	0	0	0
AT3G09020	131	167	145	741	720	561
AT3G09025	0	0	0	0	0	0
AT3G09030	215	314	409	565	519	458
AT3G09032	18	25	12	174	161	122
AT3G09035	164	181	221	37	30	30
AT3G09040	51	116	96	157	97	120
AT3G09045	0	0	0	0	0	0
AT3G09050	452	754	760	68	73	73
AT3G09055	10	15	15	4	1	1
