	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT1G04577	0	0	0	0	0	0
AT1G04580	0	0	0	0	0	0
AT1G04583	4	0	0	2	0	3
AT1G04587	0	0	0	0	0	0
AT1G04590	171	323	253	182	154	146
AT1G04593	0	0	0	0	0	0
AT1G04597	0	0	0	0	0	0
AT1G04600	21	24	38	11	7	20
AT1G04603	0	0	0	0	0	0
AT1G04607	0	0	0	0	0	0
AT1G04610	0	0	0	0	0	0
AT1G04620	627	1753	1494	352	302	260
AT1G04623	0	0	0	0	0	0
AT1G04625	0	0	0	0	0	0
AT1G04630	196	449	413	415	328	269
AT1G04635	26	21	19	24	22	11
AT1G04640	511	1120	1154	292	374	274
AT1G04643	0	0	0	0	0	0
AT1G04645	0	1	0	0	0	5
AT1G04647	6	8	15	4	6	3
AT1G04650	24	47	24	18	7	8
AT1G04653	0	0	0	0	0	0
AT1G04657	0	0	0	0	3	0
AT1G04660	1	8	16	0	0	0
AT1G04667	0	0	0	0	0	0
AT1G04670	0	0	0	0	0	0
AT1G04673	0	0	0	0	0	0
AT1G04677	0	0	0	0	0	0
AT1G04680	985	1249	2670	360	462	500
AT1G04683	0	0	0	0	0	0
AT1G04687	0	0	0	0	0	0
AT1G04690	1356	2480	2660	4650	3904	3334
AT1G04693	0	0	0	0	0	0
AT1G04697	0	0	0	0	0	0
AT1G04700	6	3	11	19	3	14
AT1G04703	0	0	0	0	0	0
AT1G04707	0	0	0	0	0	0
AT1G04710	215	548	493	85	85	86
AT1G04713	0	0	0	0	0	0
AT1G04717	0	0	0	0	0	0
AT1G04720	0	0	0	0	0	0
AT1G04723	0	0	2	0	0	0
AT1G04730	16	37	45	23	25	27
AT1G04733	0	0	0	0	0	0
AT1G04737	2	5	8	0	4	0
AT1G04743	0	0	0	0	0	0
AT1G04747	0	0	0	0	0	0
AT1G04750	751	1614	1581	4245	3889	2878
AT1G04753	0	0	0	0	0	6
AT1G04760	21	6	8	7	10	14
AT1G04763	0	0	0	0	0	0
AT1G04767	0	1	0	0	0	0
AT1G04770	464	671	522	829	817	579
AT1G04773	0	0	0	0	0	0
AT1G04778	2	2	1	1	3	0
AT1G04780	740	1073	1047	2734	2022	2082
AT1G04783	0	0	0	0	0	0
AT1G04787	0	0	0	0	0	0
AT1G04790	191	486	453	515	420	389
AT1G04793	0	0	0	0	0	0
AT1G04797	0	0	0	0	0	0
AT1G04800	51	134	238	200	212	88
AT1G04803	0	0	0	0	0	0
AT1G04807	0	0	0	0	0	0
AT1G04810	671	1136	1276	3519	3037	2265
AT1G04813	0	0	0	0	0	0
AT1G04817	0	0	0	0	0	0
AT1G04820	1821	3625	5121	5040	4917	4595
AT1G04823	0	0	0	0	0	0
AT1G04827	0	0	0	0	0	0
AT1G04830	140	297	242	360	345	310
AT1G04833	2	1	3	10	10	6
AT1G04837	0	0	4	2	6	3
AT1G04840	18	61	48	15	20	26
AT1G04847	0	0	0	0	0	0
AT1G04850	967	1862	2006	3604	3240	2526
AT1G04853	0	0	0	0	0	0
AT1G04857	0	0	0	0	0	0
AT1G04860	396	750	787	1021	844	722
AT1G04863	0	0	0	0	0	0
AT1G04867	0	0	0	0	0	0
AT1G04870	267	656	654	1158	992	702
AT1G04873	0	1	5	0	0	0
AT1G04877	0	0	0	0	0	0
AT1G04880	0	1	0	1	1	0
AT1G04883	0	0	0	0	0	0
AT1G04887	0	0	0	0	0	0
AT1G04890	0	0	0	0	0	0
AT1G04893	0	0	0	0	0	0
AT1G04895	0	0	0	0	0	0
AT1G04897	1	0	0	0	0	0
AT1G04900	85	209	249	261	184	150
AT1G04907	0	0	0	0	0	0
AT1G04910	336	616	551	1139	828	725
AT1G04913	0	0	0	0	0	1
AT1G04917	9	10	6	0	0	0
AT1G04920	10	12	24	7	10	10
AT1G04923	0	0	0	0	0	0
AT1G04927	2	0	0	1	1	2
AT1G04930	33	80	98	137	112	120
AT1G04933	13	20	20	9	8	11
AT1G04937	0	0	0	0	0	0
AT1G04940	7	11	6	8	4	3
AT1G04943	0	0	0	0	0	0
AT1G04945	75	177	128	277	155	137
AT1G04947	0	0	0	0	0	0
AT1G04950	207	442	395	196	140	131
AT1G04953	0	1	6	0	0	0
AT1G04957	0	0	0	0	0	0
AT1G04960	285	452	410	810	659	599
AT1G04963	0	0	0	0	0	0
AT1G04967	0	0	0	0	0	0
AT1G04970	339	567	469	648	560	469
AT1G04973	1	0	0	0	2	1
AT1G04977	1	1	2	1	2	0
AT1G04980	301	2108	1512	2771	2530	1949
AT1G04983	0	0	0	4	2	0
AT1G04985	298	555	476	482	476	348
AT1G04987	0	0	0	0	0	0
AT1G04990	285	749	632	709	611	460
AT1G04993	0	0	0	0	0	0
AT1G04997	0	1	0	0	0	0
AT1G05000	26	40	9	198	216	195
AT1G05003	0	0	0	0	0	0
AT1G05005	0	0	0	0	0	0
AT1G05007	0	0	0	0	0	0
AT1G05010	2763	5697	8323	13212	12279	10418
AT1G05013	0	0	0	0	0	0
AT1G05017	0	0	0	0	0	0
AT1G05020	5	7	21	26	24	23
AT1G05023	1	0	2	0	3	0
AT1G05027	0	0	0	0	0	0
AT1G05030	304	527	408	192	203	141
AT1G05033	0	1	0	0	0	0
AT1G05035	0	0	0	0	0	0
AT1G05037	0	0	0	0	0	0
AT1G05040	1	0	0	1	0	0
AT1G05043	0	0	8	12	8	6
AT1G05047	2	0	1	1	1	1
AT1G05053	0	0	0	0	0	0
AT1G05055	108	207	276	129	146	106
AT1G05057	0	0	0	0	0	0
AT1G05060	191	262	338	439	427	367
AT1G05065	13	32	37	6	8	8
AT1G05067	0	0	0	0	0	0
AT1G05070	162	251	342	45	39	35
AT1G05073	0	0	0	0	0	0
AT1G05077	0	0	0	0	0	0
AT1G05080	0	0	0	0	0	0
AT1G05083	0	0	0	0	0	0
AT1G05085	0	0	0	0	0	0
AT1G05087	9	37	50	53	52	33
AT1G05090	18	20	41	44	22	33
AT1G05093	0	0	0	0	0	0
AT1G05097	0	0	0	0	0	0
AT1G05100	3	2	3	35	14	16
AT1G05103	0	0	0	0	0	0
AT1G05107	0	0	0	0	0	0
AT1G05113	0	0	0	0	0	0
AT1G05117	0	0	0	0	0	0
AT1G05120	212	416	380	784	540	526
AT1G05123	3	2	0	0	1	0
AT1G05127	0	0	0	0	0	0
AT1G05133	0	0	0	0	0	0
AT1G05136	4	0	0	2	3	2
AT1G05137	0	0	0	0	0	0
AT1G05140	898	1905	1970	233	294	249
AT1G05143	0	0	0	0	0	0
AT1G05147	0	0	0	4	2	0
AT1G05150	328	622	561	362	267	214
AT1G05153	0	0	0	0	0	0
AT1G05160	119	199	253	151	106	84
AT1G05163	0	0	0	0	0	0
AT1G05170	265	568	700	1389	1227	912
AT1G05173	0	0	0	0	0	0
AT1G05177	0	0	0	0	0	0
AT1G05180	403	798	691	1377	1242	967
AT1G05183	1	0	0	2	2	0
AT1G05187	1	2	0	0	0	0
AT1G05190	3354	6969	6707	740	940	831
AT1G05193	0	0	0	0	0	0
AT1G05197	0	0	0	0	0	0
AT1G05200	934	1269	1181	748	625	584
AT1G05203	0	0	5	0	0	1
AT1G05205	68	138	136	141	130	93
AT1G05207	24	19	25	8	4	8
AT1G05210	28	88	87	85	90	48
AT1G05213	1	5	0	3	5	5
AT1G05217	0	0	0	0	0	0
AT1G05220	0	6	1	8	10	4
AT1G05223	0	0	0	0	0	0
AT1G05227	0	0	0	0	0	0
AT1G05230	211	350	504	224	223	184
AT1G05233	0	0	0	0	0	0
AT1G05237	0	0	0	0	0	0
AT1G05240	0	0	0	0	0	0
AT1G05243	0	1	1	0	0	3
AT1G05247	0	0	0	0	0	0
AT1G05250	0	0	0	0	0	0
